t,N,P,within4_proxy,u,a,g,anchor,p_agree,burden,q,e,integrated_equilibrium,cond_penalty
112,243.1754365420432,1.4317543654204319,0.0,0.0,0.0,668.2600315057814,1.0,0.46752795031055894,1.3458718410883113,1.0859052619252259,0.7714763154813065,1,1.0
113,250.8529368262421,1.5085293682624208,0.0,0.0,0.0,625.1930296349458,1.0,0.46752795031055894,1.3496722037289897,1.0905117620957452,0.7726279405239362,1,1.0
114,238.5380344992039,1.385380344992039,0.0,0.0,0.0,505.54863826911117,1.0,0.46752795031055894,1.343576327077106,1.0831228206995223,0.7707807051748805,1,1.0
115,243.2109449314288,1.432109449314288,0.0,0.0,0.0,561.6518613866758,1.0,0.46752795031055894,1.3458894177410574,1.0859265669588574,0.7714816417397143,1,1.0
116,248.88848035748953,1.4888848035748952,0.0,0.0,0.0,546.3722182029604,1.0,0.46752795031055894,1.3486997977769573,1.0893330882144938,0.7723332720536235,1,1.0
117,245.5716342371884,1.455716342371884,0.0,0.0,0.0,610.3653956978387,1.0,0.46752795031055894,1.347057958947408,1.087342980542313,0.7718357451355782,1,1.0
118,250.25150590172555,1.5025150590172553,0.0,0.0,0.0,640.4775311106152,1.0,0.46752795031055894,1.3493744954213542,1.0901509035410353,0.7725377258852588,1,1.0
119,259.936008481981,1.5993600848198097,0.0,0.0,0.0,822.5599140205837,1.0,0.46752795031055894,1.3541683241985805,1.0959616050891885,0.7739904012722971,1,1.0
120,268.6300922116742,1.6863009221167418,0.0,0.0,0.0,784.1123684691646,1.0,0.46752795031055894,1.3584718956447785,1.1011780553270045,0.7752945138317511,1,1.0
121,266.3327748945484,1.6633277489454836,0.0,0.0,0.0,674.9401455131452,1.0,0.46752795031055894,1.3573347235728015,1.099799664936729,0.7749499162341822,1,1.0
122,261.0331856131555,1.6103318561315554,0.0,0.0,0.0,707.8796799061478,1.0,0.46752795031055894,1.354711426878512,1.0966199113678934,0.7741549778419734,1,1.0
123,265.7283546371089,1.6572835463710889,0.0,0.0,0.0,738.3034123220947,1.0,0.46752795031055894,1.3570355355453687,1.0994370127822652,0.7748592531955663,1,1.0
124,263.42816758004477,1.6342816758004477,0.0,0.0,0.0,876.5614873817194,1.0,0.46752795031055894,1.3558969429521222,1.098056900548027,0.7745142251370067,1,1.0
125,268.12570552449245,1.6812570552449246,0.0,0.0,0.0,934.7603144968334,1.0,0.46752795031055894,1.3582222242346238,1.1008754233146956,0.7752188558286739,1,1.0
126,278.8278894003404,1.7882788940034038,0.0,0.0,0.0,933.4953575124177,1.0,0.46752795031055894,1.3635198052531685,1.1072967336402042,0.7768241834100511,1,1.0
127,277.5406554670183,1.7754065546701834,0.0,0.0,0.0,1043.1265751318904,1.0,0.46752795031055894,1.3628826244561738,1.106524393280211,0.7766310983200527,1,1.0
128,281.2521489101948,1.812521489101948,0.0,0.0,0.0,865.6249546732272,1.0,0.46752795031055894,1.3647198137105465,1.1087512893461169,0.7771878223365292,1,1.0
129,282.9673115883277,1.8296731158832769,0.0,0.0,0.0,778.524810463607,1.0,0.46752795031055894,1.365568819236222,1.1097803869529965,0.7774450967382491,1,1.0
130,279.684169763924,1.7968416976392398,0.0,0.0,0.0,680.1622542303331,1.0,0.46752795031055894,1.3639436640331424,1.1078105018583544,0.7769526254645887,1,1.0
131,281.3977823650194,1.8139778236501938,0.0,0.0,0.0,655.1488230686898,1.0,0.46752795031055894,1.3647919022706845,1.1088386694190115,0.7772096673547528,1,1.0
132,285.1130890102007,1.8511308901020072,0.0,0.0,0.0,536.450443699321,1.0,0.46752795031055894,1.3666309790600493,1.1110678534061205,0.7777669633515301,1,1.0
133,282.8320682391728,1.8283206823917282,0.0,0.0,0.0,642.6754496408972,1.0,0.46752795031055894,1.3655018737783904,1.1096992409435036,0.7774248102358758,1,1.0
134,280.5487927251906,1.8054879272519058,0.0,0.0,0.0,641.9180900028405,1.0,0.46752795031055894,1.3643716523989693,1.1083292756351144,0.7770823189087785,1,1.0
135,287.2632600865039,1.8726326008650394,0.0,0.0,0.0,516.4538425520067,1.0,0.46752795031055894,1.3676953137428196,1.1123579560519024,0.7780894890129756,1,1.0
136,293.9843645762967,1.9398436457629669,0.0,0.0,0.0,461.60516592085116,1.0,0.46752795031055894,1.3710222604652667,1.116390618745778,0.7790976546864445,1,1.0
137,286.71211142984436,1.8671211142984436,0.0,0.0,0.0,550.6355174817004,1.0,0.46752795031055894,1.367422495157773,1.1120272668579065,0.7780068167144767,1,1.0
138,288.4326711691075,1.8843267116910751,0.0,0.0,0.0,674.3210707747985,1.0,0.46752795031055894,1.3682741722287082,1.1130596027014645,0.7782649006753661,1,1.0
139,304.1549314650927,2.0415493146509274,0.0,0.0,0.0,889.1299457890175,1.0,0.46752795031055894,1.3760566910752208,1.1224929588790555,0.7806232397197639,1,1.0
140,300.89272721183244,2.0089272721183242,0.0,0.0,0.0,1152.690203231947,1.0,0.46752795031055894,1.374441899969857,1.1205356363270995,0.7801339090817749,1,1.0
141,302.6273001117536,2.026273001117536,0.0,0.0,0.0,1113.5931059131572,1.0,0.46752795031055894,1.375300513555318,1.1215763800670522,0.780394095016763,1,1.0
142,295.36358669639066,1.9536358669639067,0.0,0.0,0.0,941.9206727273394,1.0,0.46752795031055894,1.3717049754147133,1.1172181520178344,0.7793045380044585,1,1.0
